date,protocol,name,category,active_loans,revenue_ttm,revenue_annualized,earnings_ttm,earnings_annualized,active_loans_90d_ago,revenue_90d_ago,earnings_90d_ago
2026-08-29,gondi-v2,Gondi V2,NFT Lending,0,,,,,,,
2026-08-29,gondi-v3,Gondi V3,NFT Lending,0,2740818,2740818,309907,361393.1469648562,,2842237,214718
2026-08-29,grace,Grace,Lending,423.52858652361584,,,,,421,,
2026-08-29,granary-finance,Granary Finance,Lending,465600.12491524895,,,,,246649,,
2026-08-29,granite,Granite,Lending,0,,,,,,,
2026-08-29,green-planet,Green Planet,Lending,111201.5411382574,,,,,46544,,
2026-08-29,hadouken-lend,Hadouken Lend,Lending,0,,,,,0,,
2026-08-29,hakura-protocol,Hakura Protocol,Lending,7073.212011014035,,,,,6564,,
2026-08-29,hana-finance,Hana Finance,Lending,19474.315783901424,,,,,18252,,
2026-08-29,harbor-market,Harbor Market,Lending,147073.79850603084,,,,,68224,,
2026-08-29,harvest-flow,HARVEST FLOW,RWA Lending,0,,,,,,,
2026-08-29,hashstack,Hashstack,Lending,442.70226035023444,,,,,442,,
2026-08-29,hatom-lending,Hatom Lending,Lending,2000250.9602350167,,,,,2023648,,
2026-08-29,haven1-hlend,Haven1 hLend,Lending,99.95456283432785,,,,,99,,
2026-08-29,hector-lending,Hector Lending,Lending,0,,,,,0,,
2026-08-29,helix-finance,HELIX Finance,RWA Lending,5499410.290451631,,,,,5497945,,
2026-08-29,hodltree,Hodltree,Lending,0,,,,,,,
2026-08-29,hope-lend,HOPE Lend,Lending,0,,,,,,,
2026-08-29,hover,Hover,Lending,8376.317850697742,1034,1034,387,387,8537,12442,4666
2026-08-29,huckleberry-lending,Huckleberry Lending,Lending,0,,,,,2457,,
2026-08-29,hundred-finance,Hundred Finance,Lending,0,,,,,709226,,
2026-08-29,hydration-lending,Hydration Lending,Lending,16970590.52521577,1719713,1729188.002754821,648810,652384.7107438017,20383316,1665027,310841
2026-08-29,hydro-lending,Hydro Lending,Lending,1708368.1587132604,4608,49468.23529411765,462.40999999999997,4964.107352941176,2030241,,
2026-08-29,hyperbeat-usd,Hyperbeat USD,Lending,0,48931,73195.9631147541,48931,73195.9631147541,,44563.39869281046,44563.39869281046
2026-08-29,hyperdrive-hl-lending,Hyperdrive HL Lending,Lending,399645.87521061476,,,,,525857,,
2026-08-29,hyperlend-isolated,HyperLend Isolated,Lending,159065.04838762744,64780.54,64780.54,10477.240000000003,10477.240000000003,178650,90737,14768
2026-08-29,hyperlend-pooled,HyperLend Pooled,Lending,303151326.404573,9965596,9965596,1524668,1524668,261365744,9634743,1638826
2026-08-29,hyperloan,HyperLoan,Lending,0.5786042699617254,,,,,0,,
2026-08-29,hyperyield,HyperYield,Lending,80414.67095902852,1525.51,1525.51,368.01000000000005,368.01000000000005,68357,13322,3869
2026-08-29,hypurrfi-isolated,HypurrFi Isolated,Lending,271517.92377374996,367377.61999999994,367377.61999999994,57143.78,57143.78,263557,355921,68390
2026-08-29,hypurrfi-pooled,HypurrFi Pooled,Lending,3084875.2853204734,2189672,2189672,574145,574145,7831155,3608402,944309
2026-08-29,ilend-v1,iLend V1,Lending,2984.1654268157185,,,,,1449,,
2026-08-29,ilend-v2,iLend V2,Lending,717.1824671154922,,,,,628,,
2026-08-29,illuminate,Illuminate,Lending,0,,,,,,,
2026-08-29,iloop,ILoop,Lending,20587.537165797374,,,,,16105,,
2026-08-29,impermax-v2,Impermax V2,Lending,0,2798663,7296514.25,540646,1409541.357142857,0,4830021.195652174,904247.8260869565
2026-08-29,impermax-v3,Impermax V3,Lending,5485.237427858354,25929,104000.93406593407,2587,10376.42857142857,41810,104000.93406593407,10376.42857142857
2026-08-29,increment-lending,Increment Lending,Lending,297899.73399832,,,,,50147,,
2026-08-29,inertia,INERTIA,Lending,637452.9812488647,,,,,731006,,
2026-08-29,infy-protocol,Infy Protocol,NFT Lending,0,,,,,,,
2026-08-29,init-capital,INIT Capital,Lending,0,,,,,702784,,
2026-08-29,interlay-lending,Interlay Lending,Lending,19770.415578016033,,,,,65063,,
2026-08-29,iolend,IOLEND,Lending,46568.31468831764,,,,,33927,,
2026-08-29,ion-protocol,Ion Protocol,Lending,22855.958907849857,,,,,17064,,
2026-08-29,ionic-protocol,Ionic Protocol,Lending,0,,,,,0,,
2026-08-29,ionise,Ionise,Lending,8.151930640979623,,,,,12,,
2026-08-29,iron-bank,Iron Bank,Lending,326221.3956440294,160139.87000000002,160139.87000000002,25729.249999999996,25729.249999999996,254170,135328,21995
2026-08-29,ironclad-finance,Ironclad Finance,Lending,0,,,,,0,,
2026-08-29,isle-finance,Isle Finance,RWA Lending,0,,,,,,,
2026-08-29,jax-finance,Jax Finance,Lending,0,,,,,0,,
2026-08-29,jet-fixed-term,Jet Fixed Term,Lending,0,,,,,,,
2026-08-29,jet-margin,Jet Margin,Lending,0,,,,,,,
2026-08-29,jet-v1,Jet V1,Lending,42900.29299475221,,,,,41332,,
